id,text,pos
1,"""bromwell high is a cartoon comedy.""","[('``', '``'), ('bromwell', 'RB'), ('high', 'JJ'), ('is', 'VBZ'), ('a', 'DT'), ('cartoon', 'NN'), ('comedy', 'NN'), ('.', '.'), (""''"", ""''"")]"
2,"""it ran at the same time as some other programs about school life such as teachers.""","[('``', '``'), ('it', 'PRP'), ('ran', 'VBD'), ('at', 'IN'), ('the', 'DT'), ('same', 'JJ'), ('time', 'NN'), ('as', 'IN'), ('some', 'DT'), ('other', 'JJ'), ('programs', 'NNS'), ('about', 'IN'), ('school', 'NN'), ('life', 'NN'), ('such', 'JJ'), ('as', 'IN'), ('teachers', 'NNS'), ('.', '.'), (""''"", ""''"")]"
3,"""my 35 years in the teaching profession lead me to believe that bromwell highs satire is much closer to reality than is teachers.""","[('``', '``'), ('my', 'PRP$'), ('35', 'CD'), ('years', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('teaching', 'NN'), ('profession', 'NN'), ('lead', 'VB'), ('me', 'PRP'), ('to', 'TO'), ('believe', 'VB'), ('that', 'DT'), ('bromwell', 'NN'), ('highs', 'NNS'), ('satire', 'VBP'), ('is', 'VBZ'), ('much', 'RB'), ('closer', 'RBR'), ('to', 'TO'), ('reality', 'NN'), ('than', 'IN'), ('is', 'VBZ'), ('teachers', 'NNS'), ('.', '.'), (""''"", ""''"")]"
4,"""the scramble to survive financially the insightful students who can see right through their pathetic teachers pomp the pettiness of the whole situation all remind me of the schools i knew and their students.""","[('``', '``'), ('the', 'DT'), ('scramble', 'JJ'), ('to', 'TO'), ('survive', 'VB'), ('financially', 'RB'), ('the', 'DT'), ('insightful', 'JJ'), ('students', 'NNS'), ('who', 'WP'), ('can', 'MD'), ('see', 'VB'), ('right', 'RB'), ('through', 'IN'), ('their', 'PRP$'), ('pathetic', 'JJ'), ('teachers', 'NNS'), ('pomp', 'VBP'), ('the', 'DT'), ('pettiness', 'NN'), ('of', 'IN'), ('the', 'DT'), ('whole', 'JJ'), ('situation', 'NN'), ('all', 'DT'), ('remind', 'VBP'), ('me', 'PRP'), ('of', 'IN'), ('the', 'DT'), ('schools', 'NNS'), ('i', 'VBP'), ('knew', 'NNS'), ('and', 'CC'), ('their', 'PRP$'), ('students', 'NNS'), ('.', '.'), (""''"", ""''"")]"
5,"""when i saw the episode in which a student repeatedly tried to burn down the school i immediately recalled ......... at .......... high.""","[('``', '``'), ('when', 'WRB'), ('i', 'NN'), ('saw', 'VBD'), ('the', 'DT'), ('episode', 'NN'), ('in', 'IN'), ('which', 'WDT'), ('a', 'DT'), ('student', 'NN'), ('repeatedly', 'RB'), ('tried', 'VBD'), ('to', 'TO'), ('burn', 'VB'), ('down', 'RP'), ('the', 'DT'), ('school', 'NN'), ('i', 'NN'), ('immediately', 'RB'), ('recalled', 'VBD'), ('...', ':'), ('...', ':'), ('...', ':'), ('at', 'IN'), ('...', ':'), ('...', ':'), ('...', ':'), ('.', '.'), ('high', 'JJ'), ('.', '.'), (""''"", ""''"")]"
6,"""a classic line inspector im here to sack one of your teachers.""","[('``', '``'), ('a', 'DT'), ('classic', 'JJ'), ('line', 'NN'), ('inspector', 'NN'), ('im', 'NN'), ('here', 'RB'), ('to', 'TO'), ('sack', 'VB'), ('one', 'CD'), ('of', 'IN'), ('your', 'PRP$'), ('teachers', 'NNS'), ('.', '.'), (""''"", ""''"")]"
7,"""student welcome to bromwell high.""","[('``', '``'), ('student', 'NN'), ('welcome', 'NN'), ('to', 'TO'), ('bromwell', 'VB'), ('high', 'JJ'), ('.', '.'), (""''"", ""''"")]"
8,"""i expect that many adults of my age think that bromwell high is far fetched.""","[('``', '``'), ('i', 'NN'), ('expect', 'VBP'), ('that', 'IN'), ('many', 'JJ'), ('adults', 'NNS'), ('of', 'IN'), ('my', 'PRP$'), ('age', 'NN'), ('think', 'VBP'), ('that', 'IN'), ('bromwell', 'VBP'), ('high', 'JJ'), ('is', 'VBZ'), ('far', 'RB'), ('fetched', 'VBN'), ('.', '.'), (""''"", ""''"")]"
9,"""what a pity that it isnt!""","[('``', '``'), ('what', 'WP'), ('a', 'DT'), ('pity', 'NN'), ('that', 'IN'), ('it', 'PRP'), ('isnt', 'VBZ'), ('!', '.'), (""''"", ""''"")]"
10,"""homelessness or houselessness as george carlin stated has been an issue for years but never a plan to help those on the street that were once considered human who did everything from going to school work or vote for the matter.""","[('``', '``'), ('homelessness', 'NN'), ('or', 'CC'), ('houselessness', 'NN'), ('as', 'IN'), ('george', 'NN'), ('carlin', 'NN'), ('stated', 'VBN'), ('has', 'VBZ'), ('been', 'VBN'), ('an', 'DT'), ('issue', 'NN'), ('for', 'IN'), ('years', 'NNS'), ('but', 'CC'), ('never', 'RB'), ('a', 'DT'), ('plan', 'NN'), ('to', 'TO'), ('help', 'VB'), ('those', 'DT'), ('on', 'IN'), ('the', 'DT'), ('street', 'NN'), ('that', 'WDT'), ('were', 'VBD'), ('once', 'RB'), ('considered', 'VBN'), ('human', 'NN'), ('who', 'WP'), ('did', 'VBD'), ('everything', 'NN'), ('from', 'IN'), ('going', 'VBG'), ('to', 'TO'), ('school', 'NN'), ('work', 'NN'), ('or', 'CC'), ('vote', 'NN'), ('for', 'IN'), ('the', 'DT'), ('matter', 'NN'), ('.', '.'), (""''"", ""''"")]"
