rule,frequency,sup,confidence,label,ID
"['VB', 'DT', 'JJS_best', 'NN', 'NN']",2,2,1.0,YES,0
"['VB', 'DT', 'JJS_best', 'JJ']",1,1,1.0,NO,1
"['VB', 'DT', 'JJS_best', 'JJ', 'RB']",1,1,1.0,NO,2
"['VB', 'DT', 'JJS_best', 'RB']",1,1,1.0,NO,3
"['VB', 'DT', 'JJS_best', 'CD']",1,1,1.0,NO,4
"['VB', 'DT', 'JJS_best', 'CD', 'NN']",1,1,1.0,NO,5
"['VB', 'DT', 'NN', 'NN']",2,2,1.0,YES,6
"['VB', 'DT', 'NN', 'IN']",4,4,1.0,NO,7
"['VB', 'DT', 'NN', 'PRP']",1,1,1.0,NO,8
"['VB', 'DT', 'JJR_better']",4,4,1.0,YES,9
"['VB', 'DT', 'JJR_better', 'VBG']",4,4,1.0,YES,10
"['VB', 'DT', 'JJR_better', 'VBG', 'IN']",4,4,1.0,YES,11
"['VB', 'DT', 'JJR_better', 'IN']",4,4,1.0,YES,12
"['VB', 'DT', 'VBG', 'IN']",4,4,1.0,YES,13
"['VB', 'DT', 'JJS_darkest']",2,2,1.0,YES,14
"['VB', 'DT', 'JJS_darkest', 'NNS']",2,2,1.0,YES,15
"['VB', 'DT', 'JJS_darkest', 'NNS', 'NN']",2,2,1.0,YES,16
"['VB', 'DT', 'JJS_darkest', 'NN']",2,2,1.0,YES,17
"['VB', 'DT', 'NNS', 'NN']",2,2,1.0,YES,18
"['VB', 'DT', 'JJR_viewer']",1,1,1.0,NO,19
"['VB', 'DT', 'JJR_viewer', 'RB']",1,1,1.0,NO,20
"['VB', 'DT', 'JJR_viewer', 'RB', 'IN']",1,1,1.0,NO,21
"['VB', 'DT', 'JJR_viewer', 'IN']",1,1,1.0,NO,22
"['VB', 'DT', 'RB']",3,3,1.0,NO,23
"['VB', 'DT', 'RB', 'IN']",1,1,1.0,NO,24
"['VB', 'DT', 'RB', 'CC']",1,1,1.0,NO,25
"['VB', 'DT', 'JJS_greatest']",1,1,1.0,NO,26
"['VB', 'DT', 'JJS_greatest', 'NN']",1,1,1.0,NO,27
"['VB', 'DT', 'JJS_greatest', 'NN', 'IN']",1,1,1.0,NO,28
"['VB', 'DT', 'JJS_greatest', 'IN']",1,1,1.0,NO,29
"['VB', 'DT', 'JJ']",6,6,1.0,NO,30
"['VB', 'DT', 'JJ', 'RB']",1,1,1.0,NO,31
"['VB', 'DT', 'JJ', 'NN']",2,2,1.0,NO,32
"['VB', 'DT', 'VBN']",1,1,1.0,NO,33
"['VB', 'DT', 'JJ_second']",1,1,1.0,NO,34
"['VB', 'DT', 'JJ_second', 'NN']",1,1,1.0,NO,35
"['VB', 'DT', 'JJ_second', 'NN', 'IN']",1,1,1.0,NO,36
"['VB', 'DT', 'JJ_second', 'IN']",1,1,1.0,NO,37
"['VB', 'DT', 'RBR_more']",1,1,1.0,NO,38
"['VB', 'DT', 'RBR_more', 'RB']",1,1,1.0,NO,39
"['VB', 'DT', 'RBR_more', 'RB', 'CC']",1,1,1.0,NO,40
"['VB', 'DT', 'RBR_more', 'CC']",1,1,1.0,NO,41
"['VB', 'DT', 'CC']",1,1,1.0,NO,42
"['VB', 'DT', 'JJ_same']",3,3,1.0,NO,43
"['VB', 'DT', 'JJ_same', 'NN']",3,3,1.0,NO,44
"['VB', 'DT', 'JJ_same', 'NN', 'IN']",1,1,1.0,NO,45
"['VB', 'DT', 'JJ_same', 'IN']",1,1,1.0,NO,46
"['VB', 'DT', 'JJ_same', 'JJ']",2,2,1.0,NO,47
"['VB', 'DT', 'JJ_same', 'JJ', 'NN']",2,2,1.0,NO,48
"['VB', 'DT', 'JJ_last']",1,1,1.0,NO,49
"['VB', 'DT', 'JJ_last', 'NN']",1,1,1.0,NO,50
"['VB', 'DT', 'JJ_last', 'NN', 'PRP']",1,1,1.0,NO,51
"['VB', 'DT', 'JJ_last', 'PRP']",1,1,1.0,NO,52
"['VB', 'DT', 'PRP']",1,1,1.0,NO,53
"['VB', 'DT', 'JJR_higher']",1,1,1.0,NO,54
"['VB', 'DT', 'JJR_higher', 'NN']",1,1,1.0,NO,55
"['VB', 'DT', 'JJR_higher', 'NN', 'IN']",1,1,1.0,NO,56
"['VB', 'DT', 'JJR_higher', 'IN']",1,1,1.0,NO,57
"['VB', 'DT', 'CD']",1,1,1.0,NO,58
"['VB', 'DT', 'CD', 'NN']",1,1,1.0,NO,59
"['VB', 'JJS_best', 'JJ']",1,1,1.0,NO,60
"['VB', 'JJS_best', 'JJ', 'RB']",1,1,1.0,NO,61
"['VB', 'JJS_best', 'RB']",1,1,1.0,NO,62
"['VB', 'JJS_best', 'CD']",1,1,1.0,NO,63
"['VB', 'JJS_best', 'CD', 'NN']",1,1,1.0,NO,64
"['VB', 'NN', 'IN']",6,6,1.0,NO,65
"['VB', 'NN', 'JJR_more']",1,1,1.0,NO,66
"['VB', 'NN', 'JJR_more', 'JJ']",1,1,1.0,NO,67
"['VB', 'NN', 'JJR_more', 'JJ', 'CC']",1,1,1.0,NO,68
